scenario_name,protocol_family,proof_bytes,chunk_size,query_count,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,component_predicted_cu,component_gap_vs_monolithic_cu,cu_budget_fraction,proof_transport_pressure,feasible,feasibility_reasons,notes
spend-circle-p5632-c640-q5,Circle,5632,640,5,1932977.653364,1873956.258074,1991999.048653,1926017.763454,6754.993853,1932772.757306,-204.896057,1.380698,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c640-q6,Circle,5632,640,6,2049319.959504,1990298.564214,2108341.354793,2042322.450099,6754.993853,2049077.443952,-242.515552,1.463800,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p6144-c448-q3,Circle,6144,448,3,1705609.852574,1646588.457284,1764631.247863,1697449.139097,8036.528667,1705485.667765,-124.184809,1.218293,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c448-q4,Circle,6144,448,4,1821952.158713,1762930.763424,1880973.554003,1813753.825742,8036.528667,1821790.354410,-161.804304,1.301394,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c448-q5,Circle,6144,448,5,1938294.464853,1879273.069563,1997315.860143,1930058.512388,8036.528667,1938095.041055,-199.423798,1.384496,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c448-q6,Circle,6144,448,6,2054636.770993,1995615.375703,2113658.166282,2046363.199033,8036.528667,2054399.727700,-237.043293,1.467598,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c512-q3,Circle,6144,512,3,1705261.530935,1646240.135646,1764282.926225,1697449.139097,7686.359275,1705135.498372,-126.032564,1.218044,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c512-q4,Circle,6144,512,4,1821603.837075,1762582.441786,1880625.232365,1813753.825742,7686.359275,1821440.185017,-163.652058,1.301146,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c512-q5,Circle,6144,512,5,1937946.143215,1878924.747925,1996967.538505,1930058.512388,7686.359275,1937744.871662,-201.271553,1.384247,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c512-q6,Circle,6144,512,6,2054288.449355,1995267.054065,2113309.844644,2046363.199033,7686.359275,2054049.558307,-238.891047,1.467349,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c640-q3,Circle,6144,640,3,1704913.209297,1645891.814008,1763934.604587,1697449.139097,7336.189882,1704785.328979,-127.880318,1.217795,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c640-q4,Circle,6144,640,4,1821255.515437,1762234.120148,1880276.910727,1813753.825742,7336.189882,1821090.015624,-165.499813,1.300897,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c640-q5,Circle,6144,640,5,1937597.821577,1878576.426287,1996619.216866,1930058.512388,7336.189882,1937394.702269,-203.119307,1.383998,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6144-c640-q6,Circle,6144,640,6,2053940.127717,1994918.732427,2112961.523006,2046363.199033,7336.189882,2053699.388915,-240.738802,1.467100,4.987013,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 6144 for transport sensitivity."
spend-circle-p6656-c448-q3,Circle,6656,448,3,1710230.020787,1651208.625497,1769251.416076,1701489.888031,8617.724697,1710107.612728,-122.408059,1.221593,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c448-q4,Circle,6656,448,4,1826572.326926,1767550.931637,1885593.722216,1817794.574676,8617.724697,1826412.299373,-160.027554,1.304695,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c448-q5,Circle,6656,448,5,1942914.633066,1883893.237777,2001936.028356,1934099.261321,8617.724697,1942716.986018,-197.647048,1.387796,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c448-q6,Circle,6656,448,6,2059256.939206,2000235.543916,2118278.334495,2050403.947966,8617.724697,2059021.672663,-235.266543,1.470898,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c512-q3,Circle,6656,512,3,1709881.699149,1650860.303859,1768903.094438,1701489.888031,8267.555304,1709757.443335,-124.255814,1.221344,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c512-q4,Circle,6656,512,4,1826224.005288,1767202.609999,1885245.400578,1817794.574676,8267.555304,1826062.129980,-161.875308,1.304446,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 6656 for transport sensitivity."
spend-circle-p6656-c512-q5,Circle,6656,512,5,1942566.311428,1883544.916138,2001587.706718,1934099.261321,8267.555304,1942366.816625,-199.494803,1.387547,5.402597,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 6656 for transport sensitivity."
